book,dimension,value,n_bets,roi_pct,roi_ci_low,roi_ci_high
Avg,Series,ATP500,188,-9.446808510638297,-23.51289893617021,4.468749999999999
Avg,side,underdog,635,-12.581102362204724,-23.729055118110235,-0.7780708661417396
Bet365,Series,Masters 1000,172,-8.74418604651163,-23.824563953488372,6.72877906976743
Pinnacle,rank_gap_bucket,10-30,309,-11.854368932038833,-23.846763754045305,0.8139158576051686
Pinnacle,Round,2nd Round,288,-9.201388888888891,-24.32057291666667,7.284288194444427
Pinnacle,Series,Masters 1000,203,-6.866995073891627,-24.399137931034485,11.40492610837438
Pinnacle,elo_diff_bucket,<50,280,-10.042857142857144,-24.50785714285714,5.645714285714269
Avg,Series,ATP250,430,-14.341860465116277,-25.242151162790698,-3.044825581395356
Avg,Court,Indoor,198,-12.151515151515152,-26.329166666666666,1.5607323232323227
Avg,Series,Grand Slam,287,-8.069686411149826,-26.41149825783972,11.669163763066202
Bet365,Court,Indoor,200,-12.509999999999998,-26.976875,2.2013749999999934
Bet365,Round,2nd Round,251,-13.852589641434262,-27.23904382470119,0.5685258964143254
Bet365,elo_diff_bucket,<50,255,-12.16078431372549,-27.804117647058828,3.7887254901960743
Bet365,Series,Grand Slam,283,-10.09893992932862,-28.275971731448763,9.170936395759707
Avg,Series,Masters 1000,171,-13.181286549707602,-28.66710526315789,2.0830409356725075
Bet365,rank_gap_bucket,10-30,287,-16.50871080139373,-29.04433797909407,-3.673606271777015
Pinnacle,rank_gap_bucket,30-80,430,-17.93720930232558,-29.37558139534884,-6.176046511627911
Pinnacle,surface,Clay,217,-10.110599078341016,-29.592050691244236,11.928341013824872
Avg,elo_diff_bucket,<50,247,-15.489878542510125,-30.261943319838057,-0.8803643724696485
Avg,rank_gap_bucket,10-30,285,-18.694736842105257,-31.080789473684217,-6.159912280701762
Avg,Round,2nd Round,239,-19.66945606694561,-33.89382845188285,-5.588284518828459
Bet365,surface,Clay,199,-12.547738693467336,-34.24221105527638,13.538190954773865
Avg,rank_gap_bucket,30-80,361,-23.65096952908587,-34.37243767313019,-12.258171745152367
Bet365,rank_gap_bucket,30-80,367,-26.97820163487738,-36.69318801089919,-16.33787465940056
Avg,surface,Clay,193,-19.683937823834192,-38.50634715025907,2.534715025906729
