book,dimension,value,discovery_n,discovery_roi_pct,discovery_roi_ci_low,confirmation_n,confirmation_roi_pct,confirmation_roi_ci_low,confirmation_roi_ci_high
Pinnacle,Series,Grand Slam,853,-2.2028135990621327,-13.440533411488861,494,-31.56477732793522,-46.507236842105264,-14.198178137651826
Pinnacle,Court,Indoor,722,-4.569252077562328,-13.761876731301935,376,-9.414893617021276,-22.33517287234043,4.116356382978714
Pinnacle,rank_gap_bucket,80+,1174,-5.305792163543441,-14.336456558773424,623,-11.373996789727126,-25.340208667736757,3.774919743178156
Pinnacle,rank_gap_bucket,<10,512,-4.125000000000001,-15.086035156250002,244,19.700819672131146,2.0720286885245898,39.07704918032785
Pinnacle,side,underdog,2623,-9.608463591307663,-15.518919176515439,1417,-11.36697247706422,-20.18177487649965,-2.3467713479181387
Pinnacle,Series,ATP250,1760,-11.17159090909091,-17.08893465909091,1027,-2.031158714703018,-8.897541382667965,5.103748782862703
Pinnacle,Round,2nd Round,1035,-8.865700483091786,-17.416352657004833,543,-16.918968692449354,-26.245027624309387,-6.905478821362802
Pinnacle,odds_bucket,<1.5,2419,-11.556428276147166,-17.657999173212072,1176,-12.154761904761905,-21.830357142857142,-1.5262117346938882
Pinnacle,surface,Clay,1374,-10.818049490538574,-17.84166666666667,622,-7.271704180064309,-16.67688906752412,2.8502813504823
Pinnacle,elo_diff_bucket,150-300,1139,-10.75943810359965,-18.08342844600527,559,-17.8479427549195,-27.4850626118068,-7.67222719141324
Pinnacle,rank_gap_bucket,30-80,1434,-15.314504881450489,-22.14546722454672,873,-12.691867124856818,-20.82643184421535,-4.544530355097369
Pinnacle,Series,ATP500,732,-14.193989071038251,-22.55655737704918,389,-12.262210796915166,-25.454241645244213,2.880012853470432
Pinnacle,elo_diff_bucket,300+,350,-32.31142857142857,-50.1207142857143,181,-3.182320441988947,-46.11767955801105,46.68287292817678
Bet365,side,favorite,1197,-5.145363408521303,-9.271553884711778,671,-1.8241430700447085,-7.161028315946348,3.896199701937405
Bet365,odds_bucket,1.5-2,1521,-4.45627876397107,-9.619444444444444,985,-7.022335025380711,-13.193857868020304,-0.927639593908635
Bet365,elo_diff_bucket,50-150,1439,-4.827658095899929,-11.27083043780403,823,-11.749696233292832,-19.509690157958687,-3.736087484811665
Bet365,rank_gap_bucket,10-30,886,-6.365688487584649,-14.69889954853273,465,-16.623655913978492,-26.729193548387098,-5.9585483870967755
Bet365,Series,Masters 1000,663,-6.263951734539969,-15.037217194570134,316,3.7215189873417716,-11.066851265822784,18.27927215189873
Bet365,Court,Indoor,616,-5.930194805194804,-15.299188311688313,340,-10.38529411764706,-23.621029411764706,3.123749999999999
Bet365,surface,Hard,1813,-10.214009928295644,-15.80111693325979,1148,-9.136759581881533,-16.711106271777005,-1.5240853658536602
Bet365,Round,1st Round,2659,-10.944716058668671,-15.906412185031964,1501,-9.928047968021318,-16.74736842105263,-2.820319786808797
Bet365,Court,Outdoor,2975,-11.213109243697476,-16.01050420168067,1665,-9.657657657657655,-16.320570570570574,-3.0058558558558706
Bet365,elo_diff_bucket,<50,895,-8.249162011173185,-16.120111731843576,544,-3.755514705882353,-13.851011029411763,6.08469669117647
Bet365,rank_gap_bucket,<10,457,-5.969365426695842,-16.44901531728665,225,20.040000000000003,0.29711111111111227,39.478111111111076
Bet365,rank_gap_bucket,80+,1016,-6.974409448818896,-16.51892224409449,551,-12.791288566243193,-25.52640653357531,-0.021506352087124866
Bet365,Series,ATP250,1513,-11.338400528750826,-17.42263714474554,919,-3.8618063112078342,-11.45163220892274,3.8762241566920554
Bet365,surface,Clay,1221,-10.520884520884518,-18.202907452907453,550,-5.263636363636364,-15.534772727272728,4.883863636363606
Bet365,side,underdog,2394,-12.88763575605681,-18.954354636591482,1334,-13.78335832083958,-21.63429535232384,-4.588399550224889
Bet365,Round,2nd Round,868,-13.14516129032258,-20.7923099078341,473,-16.708245243128964,-26.61168076109937,-6.258985200845682
Bet365,odds_bucket,<1.5,2070,-14.605797101449278,-20.984855072463766,1020,-12.445098039215686,-21.919460784313724,-1.9344607843137347
Bet365,Series,Grand Slam,756,-9.460317460317459,-21.50304232804233,422,-33.009478672985786,-46.8438981042654,-16.953613744075838
Bet365,surface,Grass,557,-10.140035906642728,-21.59807001795332,307,-20.28338762214984,-37.37361563517915,-0.41734527687297857
Bet365,elo_diff_bucket,150-300,974,-14.766940451745377,-22.74360882956879,482,-14.443983402489627,-25.483609958506225,-2.8938796680497934
Bet365,rank_gap_bucket,30-80,1232,-17.498376623376622,-24.648214285714285,764,-12.227748691099476,-20.567146596858638,-3.2809227748691114
Bet365,Series,ATP500,626,-16.9073482428115,-25.843809904153346,335,-14.907462686567166,-29.86343283582089,1.1236567164179034
Bet365,elo_diff_bucket,300+,283,-29.325088339222617,-49.92411660777385,156,-6.0000000000000036,-45.84647435897436,37.0076923076923
